"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2021","AQS","780100012","3","2.9","ug/m3 LC","12","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"01/10/2021","AQS","780100012","3","4.8","ug/m3 LC","20","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"01/16/2021","AQS","780100012","3","3.4","ug/m3 LC","14","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"01/22/2021","AQS","780100012","3","4.1","ug/m3 LC","17","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"01/28/2021","AQS","780100012","3","2.9","ug/m3 LC","12","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"02/03/2021","AQS","780100012","3","8.8","ug/m3 LC","37","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"02/09/2021","AQS","780100012","3","3","ug/m3 LC","13","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"02/15/2021","AQS","780100012","3","5.5","ug/m3 LC","23","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"02/21/2021","AQS","780100012","3","5.3","ug/m3 LC","22","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"02/27/2021","AQS","780100012","3","5.1","ug/m3 LC","21","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"03/05/2021","AQS","780100012","3","9.6","ug/m3 LC","40","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"03/11/2021","AQS","780100012","3","4.6","ug/m3 LC","19","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"03/17/2021","AQS","780100012","3","5.2","ug/m3 LC","22","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"03/24/2021","AQS","780100012","3","2.8","ug/m3 LC","12","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"03/29/2021","AQS","780100012","3","5","ug/m3 LC","21","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"04/04/2021","AQS","780100012","3","4.5","ug/m3 LC","19","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"04/10/2021","AQS","780100012","3","9.4","ug/m3 LC","39","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"04/16/2021","AQS","780100012","3","9.8","ug/m3 LC","41","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"04/22/2021","AQS","780100012","3","4.3","ug/m3 LC","18","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
"04/28/2021","AQS","780100012","3","2.4","ug/m3 LC","10","","1","100.0000","88101","PM2.5 - Local Conditions","","","78","Virgin Islands","010","St Croix","17.712474053","-64.784867844"
