"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2021","AQS","220150008","3","4.2","ug/m3 LC","18","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/02/2021","AQS","220150008","3","6.4","ug/m3 LC","27","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/03/2021","AQS","220150008","3","6.6","ug/m3 LC","28","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/04/2021","AQS","220150008","3","9.3","ug/m3 LC","39","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/05/2021","AQS","220150008","3","7.3","ug/m3 LC","30","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/06/2021","AQS","220150008","3","7","ug/m3 LC","29","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/07/2021","AQS","220150008","3","5","ug/m3 LC","21","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/08/2021","AQS","220150008","3","5.7","ug/m3 LC","24","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/09/2021","AQS","220150008","3","7.8","ug/m3 LC","33","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/10/2021","AQS","220150008","3","7.8","ug/m3 LC","33","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/11/2021","AQS","220150008","3","10","ug/m3 LC","42","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/12/2021","AQS","220150008","3","9.4","ug/m3 LC","39","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/13/2021","AQS","220150008","3","7.2","ug/m3 LC","30","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"01/14/2021","AQS","220150008","3","7.3","ug/m3 LC","30","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/04/2021","AQS","220150008","3","10.9","ug/m3 LC","45","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/05/2021","AQS","220150008","3","6.4","ug/m3 LC","27","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/06/2021","AQS","220150008","3","7.1","ug/m3 LC","30","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/07/2021","AQS","220150008","3","5.5","ug/m3 LC","23","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/08/2021","AQS","220150008","3","9.2","ug/m3 LC","38","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/09/2021","AQS","220150008","3","14.1","ug/m3 LC","55","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/10/2021","AQS","220150008","3","8.6","ug/m3 LC","36","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/11/2021","AQS","220150008","3","5.3","ug/m3 LC","22","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/12/2021","AQS","220150008","3","11.2","ug/m3 LC","47","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/13/2021","AQS","220150008","3","8.4","ug/m3 LC","35","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/14/2021","AQS","220150008","3","8.5","ug/m3 LC","35","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/15/2021","AQS","220150008","3","7.4","ug/m3 LC","31","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/16/2021","AQS","220150008","3","8.7","ug/m3 LC","36","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/17/2021","AQS","220150008","3","7.5","ug/m3 LC","31","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/18/2021","AQS","220150008","3","9.6","ug/m3 LC","40","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/19/2021","AQS","220150008","3","11.1","ug/m3 LC","46","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/20/2021","AQS","220150008","3","11.1","ug/m3 LC","46","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/21/2021","AQS","220150008","3","8.7","ug/m3 LC","36","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/22/2021","AQS","220150008","3","7","ug/m3 LC","29","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/23/2021","AQS","220150008","3","8.5","ug/m3 LC","35","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
"02/24/2021","AQS","220150008","3","10.3","ug/m3 LC","43","Shreveport / Airport","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","43340","Shreveport-Bossier City, LA","22","Louisiana","015","Bossier","32.535293","-93.747041"
